Channel 1,Channel 2, Channel 3
9771,77,73
9777,71,75
9771,65,72
9774,63,69
9758,63,65
9753,71,65
9770,72,67
9816,72,69
9787,57,68
9818,34,58
9826,19,45
9834,14,31
9831,7,18
9851,3,10
9854,-6,4
9846,-12,-2
9835,-12,-6
9836,-5,-8
9840,-2,-7
9873,-2,-5
9861,-14,-5
9839,-14,-8
9848,-18,-12
9879,-18,-16
9864,-20,-17
9860,-26,-20
9866,-29,-23
9865,-28,-25
9866,-29,-28
9840,-29,-28
9830,-16,-25
9878,-17,-22
9871,-19,-20
9859,-29,-20
9868,-33,-24
9882,-33,-28
9853,-27,-30
9858,-27,-30
9871,-28,-28
9865,-25,-26
9869,-31,-27
9849,-31,-28
9855,-24,-27
9870,-26,-28
9884,-26,-26
9868,-33,-27
9864,-33,-29
9881,-38,-32
9884,-38,-35
9851,-36,-36
9866,-37,-37
9862,-28,-34
9872,-28,-32
9868,-31,-31
9854,-29,-29
9862,-29,-29
9865,-27,-29
9857,-23,-27
9856,-23,-25
9894,-25,-24
9873,-29,-25
9871,-36,-28
9874,-37,-31
9881,-37,-34
9871,-36,-36
9869,-36,-36
9848,-34,-35
9844,-22,-32
9887,-22,-28
9875,-25,-25
9872,-37,-26
9858,-37,-30
9883,-37,-34
9876,-38,-37
9883,-43,-38
9891,-47,-41
9869,-43,-42
9881,-46,-44
9878,-43,-44
9859,-37,-42
9871,-38,-41
9887,-38,-39
9884,-41,-38
9880,-46,-40
9898,-49,-43
9876,-46,-45
9895,-51,-48
9891,-57,-50
9895,-57,-52
9889,-57,-55
9876,-54,-56
9861,-46,-53
9866,-35,-48
9900,-35,-42
9905,-47,-40
9893,-60,-44
9894,-61,-50
9900,-61,-57
9905,-61,-60
9909,-66,-62
9896,-66,-63
9921,-71,-66
9872,-66,-67
9867,-48,-62
9869,-34,-54
9897,-34,-45
9919,-47,-40
9884,-54,-42
9895,-60,-48
9900,-61,-55
9897,-60,-58
9902,-62,-60
9896,-62,-61
9904,-63,-61
9910,-67,-63
9872,-64,-64
9874,-53,-61
9864,-37,-55
9897,-37,-47
9903,-49,-44
9901,-63,-46
9922,-66,-53
9909,-70,-62
9916,-76,-68
9912,-78,-72
9916,-78,-75
9906,-78,-77
9907,-73,-76
9884,-70,-74
9881,-59,-70
9923,-59,-65
9903,-57,-61
9894,-62,-59
9923,-77,-63
9921,-76,-68
9911,-80,-73
9914,-81,-78
9926,-81,-79
9908,-76,-79
9907,-75,-78
9892,-71,-75
9875,-63,-71
9911,-63,-68
9914,-65,-65
9899,-69,-65
9911,-75,-68
9926,-76,-71
9924,-81,-75
9916,-84,-79
9927,-89,-82
9922,-87,-85
9906,-83,-85
9885,-78,-84
9889,-61,-77
9910,-61,-70
9909,-63,-65
9907,-72,-64
9909,-73,-67
9905,-72,-70
9907,-71,-72
9915,-72,-72
9934,-75,-72
9918,-80,-74
9901,-80,-76
9875,-73,-77
9827,-52,-71
9845,-24,-57
9851,-12,-40
9814,0,-22
9796,6,-7
9799,29,5
9795,38,18
9786,40,28
9788,44,37
9776,49,42
9780,53,46
9756,58,51
9758,69,57
9782,67,61
9771,71,66
9780,60,66
9807,55,63
9790,51,59
9804,39,51
9816,30,43
9834,26,36
9834,11,26
9846,2,17
9822,2,10
9801,8,5
9843,3,3
9852,3,4
9855,-11,0
9849,-14,-4
9872,-17,-9
9867,-25,-16
9851,-23,-19
9861,-28,-23
9862,-25,-25
9865,-25,-25
9869,-27,-26
